scenario,window,percentile,raw_nc_value_1995_2014_baseline,fitted_offset,final_value_1961_1990_baseline,source
SSP3-7.0,2051-2070,5th,1.1670,+0.4983,1.7,derived (this script)
SSP3-7.0,2051-2070,median,1.6231,+0.5564,2.2,derived (this script)
SSP3-7.0,2051-2070,95th,2.2062,+0.5918,2.8,derived (this script)
SSP3-7.0,2061-2080,5th,1.4224,+0.4983,1.9,derived (this script)
SSP3-7.0,2061-2080,median,1.9872,+0.5564,2.5,derived (this script)
SSP3-7.0,2061-2080,95th,2.6931,+0.5918,3.3,derived (this script)
SSP3-7.0,2071-2090,5th,1.7057,+0.4983,2.2,derived (this script)
SSP3-7.0,2071-2090,median,2.3683,+0.5564,2.9,derived (this script)
SSP3-7.0,2071-2090,95th,3.2035,+0.5918,3.8,derived (this script)
SSP3-7.0,2081-2100,5th,1.9975,+0.4983,2.5,"ARR Table 1.6.2 (published, untouched)"
SSP3-7.0,2081-2100,median,2.7564,+0.5564,3.3,"ARR Table 1.6.2 (published, untouched)"
SSP3-7.0,2081-2100,95th,3.7456,+0.5918,4.3,"ARR Table 1.6.2 (published, untouched)"
SSP5-8.5,2011-2030,5th,0.2930,+0.4983,0.8,derived (this script)
SSP5-8.5,2011-2030,median,0.4335,+0.5564,1.0,derived (this script)
SSP5-8.5,2011-2030,95th,0.6068,+0.5918,1.2,derived (this script)
SSP5-8.5,2021-2040,5th,0.5148,+0.4983,1.0,"ARR Table 1.6.2 (published, untouched)"
SSP5-8.5,2021-2040,median,0.7604,+0.5564,1.3,"ARR Table 1.6.2 (published, untouched)"
SSP5-8.5,2021-2040,95th,1.0369,+0.5918,1.6,"ARR Table 1.6.2 (published, untouched)"
SSP5-8.5,2031-2050,5th,0.7708,+0.4983,1.3,derived (this script)
SSP5-8.5,2031-2050,median,1.1235,+0.5564,1.7,derived (this script)
SSP5-8.5,2031-2050,95th,1.5159,+0.5918,2.1,derived (this script)
SSP5-8.5,2041-2060,5th,1.0830,+0.4983,1.6,"ARR Table 1.6.2 (published, untouched)"
SSP5-8.5,2041-2060,median,1.5429,+0.5564,2.1,"ARR Table 1.6.2 (published, untouched)"
SSP5-8.5,2041-2060,95th,2.0785,+0.5918,2.7,"ARR Table 1.6.2 (published, untouched)"
SSP5-8.5,2051-2070,5th,1.4123,+0.4983,1.9,derived (this script)
SSP5-8.5,2051-2070,median,1.9949,+0.5564,2.6,derived (this script)
SSP5-8.5,2051-2070,95th,2.6930,+0.5918,3.3,derived (this script)
SSP5-8.5,2061-2080,5th,1.7324,+0.4983,2.2,derived (this script)
SSP5-8.5,2061-2080,median,2.4794,+0.5564,3.0,derived (this script)
SSP5-8.5,2061-2080,95th,3.3639,+0.5918,4.0,derived (this script)
SSP5-8.5,2071-2090,5th,2.0879,+0.4983,2.6,derived (this script)
SSP5-8.5,2071-2090,median,2.9833,+0.5564,3.5,derived (this script)
SSP5-8.5,2071-2090,95th,4.0771,+0.5918,4.7,derived (this script)
SSP5-8.5,2081-2100,5th,2.4421,+0.4983,3.0,"ARR Table 1.6.2 (published, untouched)"
SSP5-8.5,2081-2100,median,3.5006,+0.5564,4.1,"ARR Table 1.6.2 (published, untouched)"
SSP5-8.5,2081-2100,95th,4.8173,+0.5918,5.4,"ARR Table 1.6.2 (published, untouched)"
SSP1-1.9 (not used by the app),2011-2030,5th,0.2663,+0.4983,0.8,derived (this script)
SSP1-1.9 (not used by the app),2011-2030,median,0.4017,+0.5564,1.0,derived (this script)
SSP1-1.9 (not used by the app),2011-2030,95th,0.5455,+0.5918,1.1,derived (this script)
SSP1-1.9 (not used by the app),2021-2040,5th,0.3850,+0.4983,,"ARR Table 1.6.2 (published, untouched)"
SSP1-1.9 (not used by the app),2021-2040,median,0.6091,+0.5564,,"ARR Table 1.6.2 (published, untouched)"
SSP1-1.9 (not used by the app),2021-2040,95th,0.8507,+0.5918,,"ARR Table 1.6.2 (published, untouched)"
SSP1-1.9 (not used by the app),2031-2050,5th,0.4218,+0.4983,0.9,derived (this script)
SSP1-1.9 (not used by the app),2031-2050,median,0.7041,+0.5564,1.3,derived (this script)
SSP1-1.9 (not used by the app),2031-2050,95th,1.0171,+0.5918,1.6,derived (this script)
SSP1-1.9 (not used by the app),2041-2060,5th,0.4030,+0.4983,,"ARR Table 1.6.2 (published, untouched)"
SSP1-1.9 (not used by the app),2041-2060,median,0.7146,+0.5564,,"ARR Table 1.6.2 (published, untouched)"
SSP1-1.9 (not used by the app),2041-2060,95th,1.0689,+0.5918,,"ARR Table 1.6.2 (published, untouched)"
SSP1-1.9 (not used by the app),2051-2070,5th,0.3575,+0.4983,0.9,derived (this script)
SSP1-1.9 (not used by the app),2051-2070,median,0.6866,+0.5564,1.2,derived (this script)
SSP1-1.9 (not used by the app),2051-2070,95th,1.0673,+0.5918,1.7,derived (this script)
SSP1-1.9 (not used by the app),2061-2080,5th,0.3154,+0.4983,0.8,derived (this script)
SSP1-1.9 (not used by the app),2061-2080,median,0.6493,+0.5564,1.2,derived (this script)
SSP1-1.9 (not used by the app),2061-2080,95th,1.0420,+0.5918,1.6,derived (this script)
SSP1-1.9 (not used by the app),2071-2090,5th,0.2828,+0.4983,0.8,derived (this script)
SSP1-1.9 (not used by the app),2071-2090,median,0.6093,+0.5564,1.2,derived (this script)
SSP1-1.9 (not used by the app),2071-2090,95th,1.0016,+0.5918,1.6,derived (this script)
SSP1-1.9 (not used by the app),2081-2100,5th,0.2423,+0.4983,,"ARR Table 1.6.2 (published, untouched)"
SSP1-1.9 (not used by the app),2081-2100,median,0.5643,+0.5564,,"ARR Table 1.6.2 (published, untouched)"
SSP1-1.9 (not used by the app),2081-2100,95th,0.9575,+0.5918,,"ARR Table 1.6.2 (published, untouched)"
